unique_trial_ID,ID,season,trial,task,path_efficiency,directional_path_efficiency,perc_backward,perc_backward_buffer,shrew_path_length,correct_path_length,total_deviation_sequences,first_deviation_point,first_deviation_length,total_deviations,total_deviation_length
summer_20210803-3_T6,20210803-3,summer,T6,maze,0.1932749364227182,0.541030534351145,0.7038711500423849,0.1486486486486486,507.8723059712033,141.93068219991375,5,1,350.84001504246976,5,387.27422974669855
spring_20210803-4_T6,20210803-4,spring,T6,maze,0.2988257107540173,0.647610121836926,0.6702719406674907,0.2726315789473684,809.8496860319856,145.04370013491695,9,2,1.60744759449121,9,594.1374344243775
winter_20210802-3_T10,20210802-3,winter,T10,maze,0.8592592592592593,0.8493506493506493,0.0493827160493827,0.0209580838323353,121.32151681333175,144.88769475085613,4,3,2.445657001197606,4,8.846060751193669
winter_20240303-1_T3,20240303-1,winter,T3,maze,0.2514367816091954,0.4203767123287671,0.66436781609195406,0.4055690072639225,943.7557786816164,140.15969985546093,14,1,1.1387586051035032,14,680.0865782474938
winter_20210803-4_T4,20210803-4,winter,T4,maze,0.6926605504587156,0.8317460317460318,0.2775229357798165,0.1148648648648648,163.77724267850397,145.34705420315322,10,1,14.011470384638638,10,51.5789503903754
winter_20210802-8_T10,20210802-8,winter,T10,maze,0.8528138528138528,0.7581395348837209,0.0692640692640692,0.0467836257309941,105.3818908648055,145.34735373640518,6,2,2.533870872640006,6,16.77903405484113
summer_20210802-7_T1,20210802-7,summer,T1,maze,0.1649876874860085,0.5116279069767442,0.7208417282292366,0.1296043656207367,596.4196990466068,143.99281173360436,8,1,376.7859323330088,8,456.15829683369554
spring_20210912-1_T4,20210912-1,spring,T4,maze,0.9376528117359412,0.9582753824756608,0.1210268948655256,0.0874172185430463,128.6458995158096,145.4321814059821,4,1,0.27342602000835303,4,2.343453807267654
spring_20240526-1_T10,20240526-1,spring,T10,maze,0.6856435643564357,0.8773234200743495,0.3341584158415842,0.1291512915129151,156.13475636850418,139.71344411196625,8,1,1.4419303930169534,8,35.74332335217271
summer_20210802-7_T4,20210802-7,summer,T4,maze,0.5796766743648961,0.7598039215686274,0.2933025404157043,0.0292275574112734,195.3491216526505,143.99281173360436,4,1,72.95399544014518,4,76.26352157296989
winter_20240225-1_T1,20240225-1,winter,T1,maze,0.2615384615384615,0.4690026954177897,0.6432692307692308,0.3324808184143222,737.7006802802524,140.08363962230655,14,1,1.18641010633574,14,472.69202225886534
winter_20210802-1_T6,20210802-1,winter,T6,maze,0.9615384615384616,0.9331941544885176,0.0303643724696356,0.0197368421052631,121.44655780078814,144.27341046979302,3,1,6.546699580591065,3,8.142736678135188
winter_20210912-2_T4,20210912-2,winter,T4,maze,0.1741756858796879,0.3439153439153439,0.714573370249182,0.4009216589861751,1095.6453792720351,145.49288510868678,13,1,569.9933280005052,13,877.3793599999665
summer_20210802-1_T2,20210802-1,summer,T2,maze,0.4593413978494624,0.8852357320099256,0.7291666666666666,0.4734317343173432,423.3720797085245,145.142203148698,6,12,84.71142838540148,6,92.536787974265
winter_20210910-2_T5,20210910-2,winter,T5,maze,0.2757517594369801,0.5089743589743589,0.5009596928982726,0.0410628019323671,357.5037903758391,144.27341046979305,3,1,239.01594336975788,3,243.334298408575
spring_20210910-1_T5,20210910-1,spring,T5,maze,0.1357956123299083,0.4149599287622439,0.6881421827270203,0.0351966873706004,570.4897905240433,145.43742460880026,9,1,422.77355229471453,9,458.9328208171248
summer_20210803-4_T9,20210803-4,summer,T9,maze,0.9799713876967096,0.9559471365638766,0.0257510729613733,0.0269058295964125,121.7458342280421,141.30764096145617,3,8,0.4182559510686974,3,1.4016651464659298
winter_20240225-2_T1,20240225-2,winter,T1,maze,0.4048493754592212,0.5962314939434724,0.4540778839088905,0.162570888468809,394.2996884019279,141.6041316813825,9,1,31.27366857871867,9,232.33595507525584
winter_20240223-1_T4,20240223-1,winter,T4,maze,0.2403335860500379,0.507537688442211,0.6982562547384382,0.2785714285714286,472.3606198405976,140.424828635306,8,1,263.97328513742593,8,338.18343363961793
spring_20240524-2_T1,20240524-2,spring,T1,maze,0.5315508021390374,0.8306636155606407,0.532620320855615,0.2636916835699797,279.53119980389425,141.6129425912419,10,1,2.2190418425734615,10,120.1310224309147
winter_20210912-2_T2,20210912-2,winter,T2,maze,0.6334056399132321,0.7626582278481012,0.3145336225596529,0.1107011070110701,171.85971060312988,144.08312242311757,5,1,38.44763428924311,5,57.911177738072425
winter_20240225-1_T5,20240225-1,winter,T5,maze,0.3098871930988719,0.492091388400703,0.6224286662242866,0.3533487297921478,436.64160388459686,140.76414445588634,5,1,80.10200182114714,5,306.2216045682418
winter_20240223-1_T9,20240223-1,winter,T9,maze,0.7965116279069767,0.6946107784431138,0.0290697674418604,0.0333333333333333,97.81494162436024,140.90600716901852,5,1,6.973426248144709,5,21.184766693439876
spring_20210803-4_T1,20210803-4,spring,T1,maze,0.7276894865525673,0.8252227553118574,0.5540953545232273,0.4703035635723713,770.9976728504505,145.2040139636712,22,1,18.676913126967023,22,225.1910143386904
winter_20210912-1_T8,20210912-1,winter,T8,maze,0.7856025039123631,0.8287401574803149,0.2050078247261345,0.1319587628865979,136.06781546648756,145.34735373640518,5,1,7.56816543674214,5,21.620917749063977
spring_20240520-3_T5,20240520-3,spring,T5,maze,0.7077997671711292,0.8123028391167192,0.2619324796274738,0.1271186440677966,156.91511844059977,140.02757410236688,5,1,2.5803788910739778,5,37.59600406709298
spring_20210803-3_T4,20210803-3,spring,T4,maze,0.1241379310344827,0.4044233807266982,0.7089655172413794,0.0077519379844961,464.1142288683845,145.78701461246965,8,1,318.93086569924293,8,363.93749600983625
spring_20240520-4_T10,20240520-4,spring,T10,maze,0.23062558356676,0.4053030303030303,0.5070028011204482,0.0614035087719298,321.19064739843435,141.34066803174488,3,1,206.85424816689732,3,210.7818758156737
spring_20240520-4_T4,20240520-4,spring,T4,maze,0.1818181818181818,0.44125,0.6326905417814509,0.0686015831134564,525.0004966424199,141.34066803174488,3,1,294.05536207977224,3,398.505411691506
spring_20210803-8_T9,20210803-8,spring,T9,maze,0.5318194561255958,0.8264285714285714,0.6075133165124754,0.3868574456809751,505.55353003805527,146.11530298081394,12,4,0.9534080262024314,12,235.1973854487832
summer_20210912-2_T6,20210912-2,summer,T6,maze,0.6908396946564885,0.5689655172413793,0.4465648854961832,0.1581632653061224,202.37225292070008,142.92559004004048,9,2,36.47846647725622,9,52.45332742097434
