unique_trial_ID,season,ID,trial,time_at_edge,total_trial_time,percent_time_at_edge,mean_speed,task,mean_speed_at_edge_cm_s,mean_speed_out_edge_cm_s,total_distance_at_edge_cm,total_distance_out_edge_cm
spring_20201031-1_T1,spring,20201031-1,T1,12583.8333333333,77940.1,16.1455185884203,23.992437678913433,cue,51.659650394237396,18.66533422939692,650.0764306193511,1219.8965613189266
spring_20201031-1_T10,spring,20201031-1,T10,3512.8,9387.5,37.4199733688416,89.0623826578935,cue,116.51049842033603,72.6496737450453,409.27807885095655,426.79503835001765
spring_20201031-1_T2,spring,20201031-1,T2,1289,4059.03333333333,31.7563295037406,99.7869193742689,cue,121.86460266318932,89.51334850529534,157.08347283285104,247.9549591379516
spring_20201031-1_T3,spring,20201031-1,T3,14674.6666666667,76791.0333333333,19.1098700325689,24.556464313416967,cue,53.160203117869735,17.79898065974097,780.1082606870323,1105.6080089533784
spring_20201031-1_T4,spring,20201031-1,T4,483.966666666667,877.833333333333,55.1319536738181,131.08324310012537,cue,108.94816910130433,158.2818838744044,52.72728223939458,62.34195799533209
spring_20201031-1_T5,spring,20201031-1,T5,155232.933333333,354278.5,43.8166395458187,14.612725879208844,cue,14.165738199515605,14.961325498103346,2198.9890935428602,2977.9855118544283
spring_20201031-1_T6,spring,20201031-1,T6,546.933333333333,1765.83333333333,30.9731005191128,69.63281674132662,cue,59.63374093965344,74.11950790422888,32.61568071126111,90.3442681844646
spring_20201031-1_T7,spring,20201031-1,T7,676.2,885.5,76.3636363636364,63.86556370034124,cue,70.1883000177009,43.438261751948694,47.46132847196934,9.091628184682863
spring_20201031-1_T8,spring,20201031-1,T8,5289.03333333333,13725.9333333333,38.533141644284,66.97738909778293,cue,75.61818184664192,61.56053683271606,399.9470843929506,519.3800932039422
spring_20201031-1_T9,spring,20201031-1,T9,211.733333333333,319.7,66.2287561255343,184.19807789394213,cue,182.4133416467692,187.69812255033068,38.622984871342595,20.265140631350704
spring_20201101-1_T1,spring,20201101-1,T1,3593.13333333333,14337.6,25.060912100584,63.6792109746263,cue,94.15029247669347,53.489160407717925,338.2945542410897,574.7125010287116
spring_20201101-1_T10,spring,20201101-1,T10,5367.23333333333,16984.8333333333,31.6001530777458,69.63609530235745,cue,92.3066960973529,59.16246871221873,495.43157618358237,687.3258965110725
spring_20201101-1_T2,spring,20201101-1,T2,4118.7,13216.5,31.1633185790489,79.9497559325562,cue,103.30683426397907,69.37568324205608,425.48985828305075,631.1660909995779
spring_20201101-1_T3,spring,20201101-1,T3,3098.96666666667,6562.6,47.2216296386595,85.36153885850075,cue,74.100424937998,95.43703280103928,229.63474686869125,330.5588880441063
spring_20201101-1_T4,spring,20201101-1,T4,90.6,275.2,32.921511627907,178.66228353561883,cue,204.66769508861572,165.8990642143753,18.542893175028585,30.62496725397368
spring_20201101-1_T5,spring,20201101-1,T5,26001.5,102879,25.2738654147105,27.739780934929097,cue,43.15527555691935,22.525953958067483,1122.1018973932385,1731.739025411333
spring_20201101-1_T6,spring,20201101-1,T6,47534.6666666667,297862.6,15.958588512511,10.19298199254304,cue,23.881010124253585,7.593768049852859,1135.175855919686,1900.9322621323627
spring_20201101-1_T7,spring,20201101-1,T7,4589.6,17836.5,25.7315056204973,68.80501105129751,cue,118.0178777146062,51.75442768176031,541.6548515589567,685.5857280575107
spring_20201101-1_T8,spring,20201101-1,T8,2233.93333333333,8484.7,26.3289607568132,109.2140397572534,cue,141.7211106192233,97.59648417725778,316.5955130493035,610.0528500790637
